topic,tweet,tokenized tweet,R1,R2,R3,R4,R5,R1-1-1,R2-1-2,R3-2-1,R4-2-2,R5-3-1,R6-3-2,R7-3-3,R8-4-1,R9-4-2,R10-5-1,R11-5-2,R12-5-3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
Black Lives Matter,"The NAACP is a reliable source of donating to help stop racism, correct? Just making sure I’m supporting the right organizations! #BLM","The NAACP is a reliable source of donating to help stop racism , correct ? Just making sure I ’ m supporting the right organizations ! #BLM",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
Black Lives Matter,"#LIVE: #Protest in Rogers Park, #Chicago w/ 
. Follow Amy Harber on Happs for more live coverage: #NetworkOfNow #MakeTheNews #BlackLivesMatter #ChicagoProtests #2020Protests","#LIVE : #Protest in Rogers Park , #Chicago w / . Follow Amy Harber on Happs for more live coverage : #NetworkOfNow #MakeTheNews #BlackLivesMatter #ChicagoProtests #2020Protests",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Black Lives Matter,"This is beautiful, but why aren't there more (any?) white players kneeling? It takes all races to end racial injustice. #BlackLivesMatter","This is beautiful , but why aren't there more ( any ? ) white players kneeling ? It takes all races to end racial injustice . #BlackLivesMatter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
Black Lives Matter,KIWA stands with #BlackLivesMatter. Our cities need true security for Black people. We need a City budget based on our real needs: not more policing leading to more police killings of our brothers and sisters.,KIWA stands with #BlackLivesMatter . Our cities need true security for Black people . We need a City budget based on our real needs : not more policing leading to more police killings of our brothers and sisters .,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1
Black Lives Matter,"2day's reminder: don't let TinyHands+his cult following hijack #ImWithKap protest. It isn't abt vets, anthem, or It's about #blm #cjreform","2day ' s reminder : don't let TinyHands + his cult following hijack #ImWithKap protest . It isn't abt vets , anthem , or It's about #blm #cjreform",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
Democracy,"Certainly ""let them do their jobs"". But that does not mean we should stand silently by & watch! As CITIZENS, we need to be constantly reminding EACH OTHER & our INSTITUTIONS of govt & justice that in times of CRISIS, INACTION is FATAL to democratic republics!
#DemVoice1","Certainly "" let them do their jobs "" . But that does not mean we should stand silently by & watch ! As CITIZENS , we need to be constantly reminding EACH OTHER & our INSTITUTIONS of govt & justice that in times of CRISIS , INACTION is FATAL to democratic republics ! #DemVoice1",0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,2,-1,-1
Democracy,"The conventional wisdom is correct: Russia is weak because the country failed to modernize -- to diversify the economy and to build an open, democratic political system.","The conventional wisdom is correct : Russia is weak because the country failed to modernize - - to diversify the economy and to build an open , democratic political system .",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
Democracy,"The British monarchy is an outdated, anti-democratic, sectarian and inbred institution. I’m amazed that many people, who are intelligent and successful in other aspects of their life, buy into this absolute nonsense. Britain is not a normal country. #IrishTwitter #NotMyKing","The British monarchy is an outdated , anti-democratic , sectarian and inbred institution . I ’ m amazed that many people , who are intelligent and successful in other aspects of their life , buy into this absolute nonsense . Britain is not a normal country . #IrishTwitter #NotMyKing",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Democracy,Two tier judicial system…. Shocking miss use of democratic powers look how Tommy Robinson has been vilified for standing up for underage victims of grooming gangs of rochdale Rotherham Luton etc etc,Two tier judicial system … . Shocking miss use of democratic powers look how Tommy Robinson has been vilified for standing up for underage victims of grooming gangs of rochdale Rotherham Luton etc etc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
Democracy,"Trumpism threatens democratic norms and institutions everywhere! Republicans went to Hungary to sit at the feet of Orban and invited him to deliver a keynote speech in the US.

Joe Biden says Trump ideology threatens US democracy",Trumpism threatens democratic norms and institutions everywhere ! Republicans went to Hungary to sit at the feet of Orban and invited him to deliver a keynote speech in the US . Joe Biden says Trump ideology threatens US democracy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1
