topic,tweet,tokenized tweet,R1,R2,R3,R4,R5,R1-1-1,R2-1-2,R3-2-1,R4-2-2,R5-3-1,R6-3-2,R7-3-3,R8-4-1,R9-4-2,R10-5-1,R11-5-2,R12-5-3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
Black Lives Matter,"Excuse me white girl, what do you mean, ""thank you for representing"" when you hear I went to #ferguson? #blacklivesmatter","Excuse me white girl , what do you mean , "" thank you for representing "" when you hear I went to #ferguson ? #blacklivesmatter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3
Black Lives Matter,"Thousands marched against police brutality across the Golden Gate Bridge today, briefly stopping traffic on the span 
 #sfprotest #sanfrancisco #blacklivesmatter","Thousands marched against police brutality across the Golden Gate Bridge today , briefly stopping traffic on the span #sfprotest #sanfrancisco #blacklivesmatter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Black Lives Matter,As a Marine Corps Veteran I took an oath to protect the people from enemies both foreign & domestic. #DefendDACA #BlackLivesMatter,As a Marine Corps Veteran I took an oath to protect the people from enemies both foreign & domestic . #DefendDACA #BlackLivesMatter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
Black Lives Matter,"Since I couldn’t be with my former Public Defender’s Office in San José, I joined amazing public defenders in Sacramento as they rallied for #BlackLivesMatter & a more equitable criminal justice system 
Thank you for welcoming me into the Capitol’s Public Defender’s family!","Since I couldn ’ t be with my former Public Defender ’ s Office in San José , I joined amazing public defenders in Sacramento as they rallied for #BlackLivesMatter & a more equitable criminal justice system Thank you for welcoming me into the Capitol ’ s Public Defender ’ s family !",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Black Lives Matter,"For the past few days, my focus has been to get more people to join me for tomorrow's protest in NYC. Looks like more than 10+ people are joining me tomorrow. For the majority of them, this will be their first time protesting. #BlackLivesMatter","For the past few days , my focus has been to get more people to join me for tomorrow's protest in NYC . Looks like more than 10 + people are joining me tomorrow . For the majority of them , this will be their first time protesting . #BlackLivesMatter",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1
Democracy,"After trying and failing to get the trans healthcare for youth outlawed by Florida Legislature earlier this year, DeSantis filled out health depts. with officials loyal to HIM to do it anyway.

He went AROUND THE SYSTEM and outlawed it WITHOUT A SINGLE DEMOCRATIC VOTE.","After trying and failing to get the trans healthcare for youth outlawed by Florida Legislature earlier this year , DeSantis filled out health depts . with officials loyal to HIM to do it anyway . He went AROUND THE SYSTEM and outlawed it WITHOUT A SINGLE DEMOCRATIC VOTE .",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,3
Democracy,"A gender-sensitive Parliament projects the Institution as a fair, legitimate and democratic political entity and assures our society of gender-balanced representation.

Attended today's session of the ongoing 145th Assembly of the Inter-Parliamentary Union #IPU145","A gender-sensitive Parliament projects the Institution as a fair , legitimate and democratic political entity and assures our society of gender-balanced representation . Attended today's session of the ongoing 145th Assembly of the Inter-Parliamentary Union #IPU145",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Democracy,"What the past few years have revealed to us all is that conservative Republicans are basically weak, they have little conviction for the values they profess, and no stomach to fight for the preservation of democratic norms and institutions.","What the past few years have revealed to us all is that conservative Republicans are basically weak , they have little conviction for the values they profess , and no stomach to fight for the preservation of democratic norms and institutions .",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1
Democracy,"I am so glad you put this out there for the world. India is no longer fighting just for democracy, but for the lives of its marginalized people that have been endangered and put at risk by the capture of democratic institutions by the religious right wing.","I am so glad you put this out there for the world . India is no longer fighting just for democracy , but for the lives of its marginalized people that have been endangered and put at risk by the capture of democratic institutions by the religious right wing .",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,4
Democracy,"Americans have the right to be lazy & stupid. That doesn't mean it's a duty. But the ""Whaah, milk & gas cost too much so fuck democracy"" brigade have taken an oath to wreck our democratic system by buying into lies & gibberish.","Americans have the right to be lazy & stupid . That doesn't mean it's a duty . But the "" Whaah , milk & gas cost too much so fuck democracy "" brigade have taken an oath to wreck our democratic system by buying into lies & gibberish .",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4
