topic,tweet,tokenized tweet,R1,R2,R3,R4,R5,R1-1-1,R2-1-2,R3-2-1,R4-2-2,R5-3-1,R6-3-2,R7-3-3,R8-4-1,R9-4-2,R10-5-1,R11-5-2,R12-5-3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12
Black Lives Matter,Any other form of protest started by literally 2 men would not get national attention without breaking the law. Peaceful. Protest. #BLM,Any other form of protest started by literally 2 men would not get national attention without breaking the law . Peaceful . Protest . #BLM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1
Black Lives Matter,"""We shouldn't have to explain why it's not acceptable for unarmed teenagers to be gunned down by the police."" -Kara Brown #BlackLivesMatter",""" We shouldn't have to explain why it's not acceptable for unarmed teenagers to be gunned down by the police . "" - Kara Brown #BlackLivesMatter",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1
Black Lives Matter,"Happy Filipino American month! Celebrate by sending $ to Puerto Rico, standing w #blacklivesmatter , & flipping off our racist president","Happy Filipino American month ! Celebrate by sending $ to Puerto Rico , standing w #blacklivesmatter , & flipping off our racist president",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Black Lives Matter,If the consequence of stealing cigarettes is a brutal blatant inhumane gun down to be left for dead.we are all dead! #blacklivesMATTER,If the consequence of stealing cigarettes is a brutal blatant inhumane gun down to be left for dead.we are all dead ! #blacklivesMATTER,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Black Lives Matter,"Tomorrow morning, I'll be giving a speech at 
 on #BlackLivesMatter and the importance of Pride disruptions. Send support! #LGBT","Tomorrow morning , I'll be giving a speech at on #BlackLivesMatter and the importance of Pride disruptions . Send support ! #LGBT",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Democracy,"""the openly declared intentions of Trump and those MAGA Republicans show that they undeniably do pose a threat to our democratic system at a bedrock level.""",""" the openly declared intentions of Trump and those MAGA Republicans show that they undeniably do pose a threat to our democratic system at a bedrock level . """,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1
Democracy,"Eminent personalities from Kochi met Shri 
 where the discussion ranged over various important topics such as the misuse of democratic institutions by the Modi govt to hide its failures and the need for #BharatJodoYatra to battle the situation in the country today.",Eminent personalities from Kochi met Shri where the discussion ranged over various important topics such as the misuse of democratic institutions by the Modi govt to hide its failures and the need for #BharatJodoYatra to battle the situation in the country today .,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,3
Democracy,"""[T]he advantages of democracy as a method of peaceful change and of political education seem to be so great compared with those of any other system that I can have no sympathy with the anti-democratic strain of conservatism."" F. A. Hayek",""" [ T ] he advantages of democracy as a method of peaceful change and of political education seem to be so great compared with those of any other system that I can have no sympathy with the anti-democratic strain of conservatism . "" F . A . Hayek",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Democracy,"#UniClimateStrike in Stockholm! Our strike will go on. We stand up for a global democratic system beyond all structures of dominance (gender, ethnicity, class.) and a life in dignity for everyone. #PeopleForFuture #FridaysForFuture","#UniClimateStrike in Stockholm ! Our strike will go on . We stand up for a global democratic system beyond all structures of dominance ( gender , ethnicity , class . ) and a life in dignity for everyone . #PeopleForFuture #FridaysForFuture",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
Democracy,"Our short explainer on communes, with text taken from the 
 report ‘Beyond the frontlines – The building of the democratic system in North and East Syria.’","Our short explainer on communes , with text taken from the report ‘ Beyond the frontlines – The building of the democratic system in North and East Syria . ’",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
